name,star_name,star_age,star_age_error_min,star_age_error_max,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
51 Peg c,51 Peg,4.0,2.5,2.5,Confirmed,10.0,9.0,5.0,,,,,,,,,,37.0,15.0,20.0,,,,,,,,2011,2026-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,"Imaging, Astrometry",Astrometry,,,,344.3625,20.7686111,5.49,4.61,4.66,4.23,3.91,15.4614,0.0297,0.0297,0.18,0.1,0.1,1.03,0.126,0.126,1.176,0.051,0.051,G2IV-V,5758.0,110.623,110.623,,,HD 217014
54 Psc b,54 Psc,5.13,,,Confirmed,0.23,0.013,0.297,0.228,0.011,0.011,,,,62.25,0.004,0.004,0.295,0.029,0.029,0.645,0.002,0.002,83.0,56.0,56.0,0.025818,2003,2024-05-28,243.0,3.0,3.0,2453932.6,0.6,0.6,,,,,,,,,,,,,,,,,,,16.6,0.6,0.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,"54 Psc Ab, HD 3651 b",,9.8375,21.2502778,5.8,,,,,11.0,,,0.05,0.05,0.05,0.79,,,0.947,0.032,0.032,K0 V,5173.0,,,IR Excess,,HD 3651
54 Psc c,54 Psc,5.13,,,Confirmed,53.0,15.0,15.0,,,,0.8,0.06,0.06,,,,476.0,6.0,6.0,,,,,,,,2006,2024-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810.0,,,,,,Published in a refereed paper,Imaging,Theoretical,,"HD 3651 B, 54 Piscium B, HD 3651 c, GL 27 B, GL 27 c",,9.8375,21.2502778,5.8,,,,,11.0,,,0.05,0.05,0.05,0.79,,,0.947,0.032,0.032,K0 V,5173.0,,,IR Excess,,HD 3651
55 Cnc Ab,55 Cnc A,10.2,2.5,2.5,Confirmed,0.84,0.031,0.23,0.84,0.031,0.131,,,,14.65314,0.00095,0.0009,0.11339,0.00011,0.00011,0.0023,0.0016,0.0025,89.73,24.54,24.49,0.009303,1996,2024-06-19,110.0,54.0,54.0,2453035.0,2.2,2.2,,,,,,,,,,,,,,,,,,,71.47,0.21,0.21,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,"rho1 Cnc Ab, HD 75732 b",,133.1492129350179,28.330820831797222,5.95,,4.59,4.14,4.015,12.5855,0.01235,0.01235,0.35,0.1,0.1,0.9,0.115,0.115,0.963,0.0654,0.0654,K0V,5250.0,147.574,147.574,,,"rho1 Cnc, HD 75732, GJ 324 A, rho1 Cnc A, TOI-1773"
55 Cnc Ac,55 Cnc A,10.2,2.5,2.5,Confirmed,,0.0078,0.0275,0.1784,0.0078,0.0275,,,,44.373,0.018,0.02,0.23735,0.00024,0.00024,0.072,0.014,0.013,,,,0.019473,2002,2024-06-19,356.0,22.0,22.0,2453983.0,3.0,3.0,,,,,,,,,,,,,,,,,,,10.48,0.21,0.21,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,rho1 Cnc Ac,,133.1492129350179,28.330820831797222,5.95,,4.59,4.14,4.015,12.5855,0.01235,0.01235,0.35,0.1,0.1,0.9,0.115,0.115,0.963,0.0654,0.0654,K0V,5250.0,147.574,147.574,,,"rho1 Cnc, HD 75732, GJ 324 A, rho1 Cnc A, TOI-1773"
55 Cnc Ad,55 Cnc A,10.2,2.5,2.5,Confirmed,,0.08,0.08,3.84,0.08,0.08,,,,5574.2,5.0,5.0,5.446,0.02,0.02,0.0269,0.0065,0.061,,,,0.466775,2002,2024-06-19,254.0,32.0,32.0,2453490.0,437.0,437.0,,,,,,,,,,,,,,,,,,,45.2,0.4,0.4,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,"TOI-1773 c, rho1 Cnc Ad",,133.1492129350179,28.330820831797222,5.95,,4.59,4.14,4.015,12.5855,0.01235,0.01235,0.35,0.1,0.1,0.9,0.115,0.115,0.963,0.0654,0.0654,K0V,5250.0,147.574,147.574,,,"rho1 Cnc, HD 75732, GJ 324 A, rho1 Cnc A, TOI-1773"
55 Cnc Ae,55 Cnc A,10.2,2.5,2.5,Confirmed,0.02703,0.00135,0.00135,,,,0.1737,0.00339,0.00339,0.7365478,1.2e-06,1.6e-06,0.015439,1.5e-05,1.5e-05,0.028,0.019,0.022,90.36,4.66,3.96,0.001264,2004,2024-06-19,170.0,130.0,130.0,2449999.83643,0.0001,0.0001,,,,2455962.0697,0.0018,0.0018,,,,72.4,12.0,12.0,,,,,,,6.12,0.2,0.2,,,,,,,,,,Published in a refereed paper,"Radial Velocity, Primary Transit",Radial Velocity,Primary Transit,"TOI-1773 e, HD 75732 e, rho1 Cnc Ae","Ca, Ca+, CCH, Fe, Fe+, H2O, HCN, K, Mg, N, NH3",133.1492129350179,28.330820831797222,5.95,,4.59,4.14,4.015,12.5855,0.01235,0.01235,0.35,0.1,0.1,0.9,0.115,0.115,0.963,0.0654,0.0654,K0V,5250.0,147.574,147.574,,,"rho1 Cnc, HD 75732, GJ 324 A, rho1 Cnc A, TOI-1773"
55 Cnc Af,55 Cnc A,10.2,2.5,2.5,Confirmed,,0.0093,0.0219,0.1479,0.0093,0.0219,,,,260.91,0.36,0.36,0.7733,0.001,0.001,0.08,0.057,0.102,,,,0.06329,2007,2024-06-19,139.0,8.0,8.0,2451878.0,5.0,5.0,,,,,,,,,,,,,,,,,,,4.8,0.2,0.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,rho1 Cnc Af,,133.1492129350179,28.330820831797222,5.95,,4.59,4.14,4.015,12.5855,0.01235,0.01235,0.35,0.1,0.1,0.9,0.115,0.115,0.963,0.0654,0.0654,K0V,5250.0,147.574,147.574,,,"rho1 Cnc, HD 75732, GJ 324 A, rho1 Cnc A, TOI-1773"
61 Vir b,61 Vir,8.96,3.0,3.0,Confirmed,0.052,0.006,0.027,0.016,0.0016,0.0016,,,,4.215,0.0006,0.0006,0.050201,5e-06,5e-06,0.12,0.11,0.11,,,,0.005892,2009,2026-04-08,105.0,54.0,54.0,2453369.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Astrometry,,HD 115617 b,,199.6,-18.3111111,4.74,,,,,8.52,0.05,0.05,-0.01,,,0.95,0.03,0.03,0.94,0.029,0.029,G5V,5531.0,,,Imaging,,HD 115617
61 Vir c,61 Vir,8.96,3.0,3.0,Confirmed,0.021,0.003,0.01,0.0573,0.0035,0.0035,,,,38.021,0.034,0.034,0.2175,0.0001,0.0001,0.14,0.06,0.06,,,,0.025528,2009,2026-04-08,341.0,38.0,38.0,2453369.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 115617 c,,199.6,-18.3111111,4.74,,,,,8.52,0.05,0.05,-0.01,,,0.95,0.03,0.03,0.94,0.029,0.029,G5V,5531.0,,,Imaging,,HD 115617
61 Vir d,61 Vir,8.96,3.0,3.0,Confirmed,,0.008,0.008,0.072,0.008,0.008,,,,123.01,0.55,0.55,0.476,0.001,0.001,0.35,0.09,0.09,,,,0.055869,2009,2023-08-28,314.0,20.0,20.0,2453369.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 115617 d,,199.6,-18.3111111,4.74,,,,,8.52,0.05,0.05,-0.01,,,0.95,0.03,0.03,0.94,0.029,0.029,G5V,5531.0,,,Imaging,,HD 115617
70 Vir Ab,70 Vir A,7.09,,,Confirmed,8.0,0.7,2.9,6.6,,,,,,116.67,0.01,0.01,0.48,,,0.43,,,,,,0.021818,1996,2026-04-08,2.1,2.0,2.0,2448990.403,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Astrometry,,,,202.1083333,13.7866667,5.0,,,,,22.0,,,-0.11,,,0.92,,,1.968,0.047,0.047,G4 V,5432.0,,,IR Excess,,"HD 117176, GJ 512.1"
79 Cet Ab,79 Cet A,7.76,,,Confirmed,,0.03,0.03,0.215,0.03,0.03,,,,75.82,0.4,0.4,0.35,,,0.28,0.15,0.15,,,,0.009749,2000,2024-07-29,41.0,22.0,22.0,2451547.2,4.1,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 16141 b,,38.8291667,-3.5605556,6.78,,,,,35.9,,,0.02,,,1.01,,,1.0,,,G5 IV,5533.0,,,,,"HD 16141, HIP 12048"
8 Umi b,8 Umi,1.7,0.2,0.2,Confirmed,,0.06,0.06,1.65,0.06,0.06,,,,93.31,0.06,0.06,0.462,0.006,0.006,0.062,0.18,0.18,,,,,2015,2024-01-11,53.8,26.0,30.0,2457601.379,6.9,7.8,,,,,,,,,,,,,,,,,,,56.1,1.7,1.7,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,"C, Mg, N, Y",224.200000016,74.900833352,6.83,,,,,159.1,11.0,11.0,-0.03,0.02,0.02,1.8,0.1,0.1,9.9,0.4,0.4,K0,4847.4,7.5,7.5,,,
82 Eri b,82 Eri,14.0,5.0,6.0,Confirmed,,0.00053,0.00053,0.00676,0.00053,0.00053,,,,18.313,0.002,0.002,0.1257,0.0005,0.0005,0.057,0.046,0.065,,,,0.019917,2011,2026-01-26,26.0,5.0,27.0,246083.26,0.54,0.54,,,,,,,,,,,,,,,,,,,0.61,0.03,0.03,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,"e Eri b, HD 20794 b",,49.9833333,-43.0697222,4.26,,,,,6.06,,,-0.38,0.06,0.06,0.813,0.012,0.018,0.9,0.03,0.03,G8V,5490.0,70.0,70.0,IR Excess,,"e Eri, HD 20794, GJ 139"
82 Eri c,82 Eri,14.0,5.0,6.0,Confirmed,,0.0025,0.0016,0.00793,0.0025,0.0016,,,,89.68,0.1,0.1,0.3625,0.0016,0.0016,0.077,0.055,0.084,,,,0.033597,2011,2024-11-04,,,,2460356.2,4.5,5.2,,,,,,,,,,,,,,,,,,,0.5,0.05,0.05,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,"HD 20794 c, e Eri c",,49.9833333,-43.0697222,4.26,,,,,6.06,,,-0.38,0.06,0.06,0.813,0.012,0.018,0.9,0.03,0.03,G8V,5490.0,70.0,70.0,IR Excess,,"e Eri, HD 20794, GJ 139"
82 Eri d,82 Eri,14.0,5.0,6.0,Confirmed,,0.00179,0.00179,0.01831,0.00179,0.00179,,,,648.2,2.6,2.6,1.354,0.007,0.007,0.47,0.05,0.05,,,,0.057739,2011,2026-01-26,252.0,44.0,48.0,2459933.0,17.0,22.0,,,,,,,,,,,,,,,,,,,0.59,0.055,0.055,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,"e Eri d, HD 20794 d",,49.9833333,-43.0697222,4.26,,,,,6.06,,,-0.38,0.06,0.06,0.813,0.012,0.018,0.9,0.03,0.03,G8V,5490.0,70.0,70.0,IR Excess,,"e Eri, HD 20794, GJ 139"
82 Eri e,82 Eri,14.0,5.0,6.0,Confirmed,,0.00271,0.00302,0.01501,0.00271,0.00302,,,,147.02,0.91,1.43,0.509,0.006,0.006,0.29,0.17,0.14,,,,,2017,2024-05-28,268.0,32.0,47.0,,,,,,,,,,,,,,,,,,,,,,0.69,0.13,0.15,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,"e Eri e, HD 20794 e",,49.9833333,-43.0697222,4.26,,,,,6.06,,,-0.38,0.06,0.06,0.813,0.012,0.018,0.9,0.03,0.03,G8V,5490.0,70.0,70.0,IR Excess,,"e Eri, HD 20794, GJ 139"
94 Cet Ab,94 Cet A,8.91,,,Confirmed,,0.12,0.12,1.37,0.12,0.12,,,,466.2,1.7,1.7,1.305,0.016,0.016,0.063,0.062,0.062,,,,0.06345,2003,2024-07-29,346.0,55.0,55.0,2453757.0,72.0,72.0,,,,,,,,,,,,,,,,,,,29.3,2.1,2.1,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,"HD 19994 Ab, GJ 128 Ab, HR 962 Ab",,48.1916667,-1.1958333,5.07,,,,,22.38,,,0.25,,,1.34,,,1.93,0.067,0.067,F8 V,5984.0,,,IR Excess,,"HD 19994 A, GJ 128 A, HR 962 A"
AB Aur b,AB Aur,0.004,0.001,0.001,Confirmed,9.0,15.0,17.0,,,,,,,,,,93.9,50.0,50.0,0.4,0.2,0.2,42.6,15.0,15.0,0.708333,2008,2025-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,"Imaging, Other, Kinematic",Spectrum,,,,73.9416667,30.5511111,7.06,,,,,144.0,,,,,,2.4,0.2,0.2,2.28,,,A0V,9500.0,,,,,HD 31293
AB Pic b,AB Pic,0.03,,,Confirmed,12.9,1.0,0.3,,,,1.75,0.1,0.1,,,,242.0,56.0,109.0,0.54,0.3,0.32,,,,5.813953,2005,2026-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700.0,,,,,,Published in a refereed paper,"Imaging, Astrometry",Astrometry,,HD 44627 b,,94.8,-58.0541667,9.16,,,,,47.3,1.8,1.8,0.04,0.02,0.02,,,,,,,K2 V,5285.0,9.0,10.0,,,
AB Pic c,AB Pic,0.03,,,Confirmed,5.75,3.25,3.25,,,,,,,,,,3.571,1.167,1.167,,,,,,,,2022,2025-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Astrometry,Astrometry,,,,94.8,-58.0541667,9.16,,,,,47.3,1.8,1.8,0.04,0.02,0.02,,,,,,,K2 V,5285.0,9.0,10.0,,,
AF Lep b,AF Lep,0.024,0.003,0.003,Confirmed,3.75,0.5,0.5,,,,1.3,0.15,0.15,8875.0,146.0,329.0,8.98,0.08,0.15,0.013,0.01,0.024,57.75,0.7,0.7,,2023,2024-11-12,289.0,21.0,13.0,2459606.0,360.0,720.0,,,,,,,,,,,,,,,,,,,,,,,,,800.0,,,,,,Published in a refereed paper,Imaging,Astrometry,Theoretical,,,81.770833335,-11.90111113,6.3,,,,,26.843,0.014,0.014,0.19,0.02,0.02,1.2,0.06,0.06,1.25,0.06,0.06,F8V,6130.0,60.0,60.0,,,
AS 209 b,AS 209,0.012,,,Confirmed,1.3,,,,,,,,,,,,200.0,,,,,,,,,,2022,2025-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,252.312500005,-14.369166676,11.3,,,,,121.0,,,,,,1.2,,,2.18,,,K5,4265.0,,,Imaging,,
AU Mic b,AU Mic,0.022,0.003,0.003,Confirmed,0.028,0.0084,0.0082,,,,0.4273,0.027,0.027,8.463446,5e-06,5e-06,0.07,0.007,0.007,0.07,0.04,0.09,88.4,0.23,0.23,,2020,2026-05-27,-52.0,91.0,43.0,,,,,,,2458330.35078,0.0005,0.0005,,,,,,,0.5,0.05,0.05,,,,3.8,1.0,1.0,569.5,4.5,5.1,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,HIP 102409 b,,311.29166667,-31.340833346,8.6,,,,,9.79,0.04,0.04,,,,0.5,0.03,0.03,0.75,0.03,0.03,M1V,3700.0,100.0,100.0,,,
AU Mic c,AU Mic,0.022,0.003,0.003,Confirmed,0.0456,0.0107,0.0107,,,,0.2248,0.0223,0.0223,18.859023,2e-05,2e-05,0.119,0.01,0.01,0.18,0.08,0.08,89.09,0.2,0.2,,2020,2026-05-27,72.0,42.0,57.0,,,,,,,2458330.350878,0.0005,0.0005,,,,67.8,49.0,32.0,0.26,0.18,0.2,,,,4.7,1.0,1.0,436.0,3.4,3.9,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,HIP 102409 c,,311.29166667,-31.340833346,8.6,,,,,9.79,0.04,0.04,,,,0.5,0.03,0.03,0.75,0.03,0.03,M1V,3700.0,100.0,100.0,,,
AU Mic d,AU Mic,0.022,0.003,0.003,Confirmed,0.003187,0.000459,0.000459,,,,,,,12.73812,0.00128,0.00128,,,,0.00097,0.00042,0.00042,88.1,0.43,0.43,,2022,2026-05-27,357.0,2.9,2.9,,,,,,,2458333.3211,0.35836,0.35836,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,TTV,TTV,,HIP 102409 d,,311.29166667,-31.340833346,8.6,,,,,9.79,0.04,0.04,,,,0.5,0.03,0.03,0.75,0.03,0.03,M1V,3700.0,100.0,100.0,,,
Aldebaran b,Aldebaran,6.6,2.4,2.4,Confirmed,,,,,,,,,,772.83,4.34,4.34,,,,0.09,0.08,0.08,,,,,2019,2024-04-22,24.4,46.4,46.4,2452934.0,98.6,98.6,,,,,,,,,,,,,,,,,,,72.24,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,68.9791667,16.5091667,0.85,,,,,20.43,0.32,0.32,-0.27,0.05,0.05,1.13,0.11,0.11,45.1,0.1,0.1,K5III,4055.0,70.0,70.0,,,alf Tau
BD+03 2562 b,BD+03 2562,5.25,2.0,2.0,Confirmed,,1.3,1.3,6.4,1.3,1.3,,,,481.9,2.8,2.7,1.3,0.1,0.1,0.2,0.08,0.12,,,,,2017,2017-06-30,218.0,26.0,32.0,2453726.0,32.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,177.564802922,2.76013113422,9.58,,,,,2618.0,564.0,564.0,-0.71,0.09,0.09,1.14,0.25,0.25,32.35,8.82,8.82,,4095.0,20.0,20.0,,,
BD+05 4868 Ab,BD+05 4868 A,11.1,3.0,1.7,Confirmed,6e-05,,,,,,0.02792,,,1.271869,1e-06,1e-06,0.0208,0.0003,0.0003,,,,,,,,2025,2025-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,1820.0,45.0,45.0,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Flux,"TIC 466376085 Ab, TIC 466376085.01",,326.8605,6.6048583333333335,9.84,,,,,43.67,0.03,0.03,-0.07,0.09,0.09,0.7,0.02,0.02,0.69,0.02,0.02,K4V,4540.0,110.0,110.0,,,"TIC 466376085 A, HIP 107587 b"
BD+15 2375 b,BD+15 2375,7.4,,,Confirmed,,0.27,0.27,1.06,0.27,0.27,,,,153.22,0.44,0.44,0.576,0.027,0.027,0.001,0.001,0.25,,,,,2016,2016-03-21,55.0,17.0,240.0,2457680.0,630.0,700.0,,,,,,,,,,,,,,,,,,,38.3,1.0,2.3,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,176.483333352,14.616388914,10.3,,,,,774.0,165.0,165.0,-0.22,0.08,0.08,1.08,0.14,0.14,8.95,1.45,1.45,,4649.0,30.0,30.0,,,
BD+15 2940 b,BD+15 2940,7.1,4.2,4.2,Confirmed,,,,1.11,,,,,,137.48,0.34,0.34,0.539,,,0.26,0.1,0.1,,,,,2013,2013-04-30,302.0,33.0,33.0,2453464.0,16.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,240.0958,15.5469,9.19,,,,,585.0,455.0,455.0,0.28,0.07,0.07,1.1,0.2,0.2,14.7,2.8,2.8,K0,4796.0,117.0,117.0,,,
BD+20 594 b,BD+20 594,3.34,1.49,1.95,Confirmed,0.07,0.03,0.03,0.0513,0.019,0.019,0.23,0.01,0.01,41.6855,0.0031,0.0031,0.241,0.019,0.019,0.0,,,89.55,0.14,0.17,,2016,2021-02-05,,,,,,,,,,2457151.9021,0.0047,0.0042,,,,,,,,,,,,,3.1,1.1,1.1,386.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,"2MASS J03343623+2035574 b, EPIC 210848071 b, EPIC 210848071.01, K2-56 b, TYC 1242-608-1 b, WISE J033436.26+203556.7 b",,53.650967,20.599232,11.0,,9.77,9.432,,180.39,1.25,1.25,-0.15,0.05,0.05,1.67,0.4,0.4,1.08,0.06,0.06,G,5766.0,99.0,99.0,,,"2MASS 03343623+2035574, 2MASS J03343623+2035574, EPIC 210848071, K2-56, TYC 1242-608-1, WISE J033436.26+203556.7"
BD+24 4329 b,BD+24 4329,4.0,,,Confirmed,30.0,,,,,,,,,,,,38000.0,,,,,,,,,,2024,2024-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,CWISE J210640.16+250729.0,,317.00792048137,25.17623447618,9.84,,7.769,7.188,7.062,34.0705,0.04585,0.04585,0.04,0.01,0.01,0.7,0.0795,0.0795,0.72,0.061,0.061,K6V,4483.0,131.645,131.645,,,"GJ 4181, HIP 104329"
BD+49 828 b,BD+49 828,2.3,,,Confirmed,,0.2,0.4,1.6,0.2,0.4,,,,2590.0,180.0,300.0,4.2,0.2,0.32,0.35,0.1,0.24,,,,,2015,2015-07-26,170.0,32.0,32.0,2455470.0,170.0,200.0,,,,,,,,,,,,,,,,,,,18.8,2.0,6.2,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,45.641666678,49.730000025,9.38,,,,,,,,-0.19,0.06,0.06,1.52,0.22,0.22,7.6,1.3,1.3,K0III,4943.0,30.0,30.0,,,
BD+60 1417 b,BD+60 1417,0.1,0.05,0.05,Confirmed,15.0,5.0,5.0,,,,1.31,0.06,0.06,,,,1662.0,,,,,,,,,,2021,2024-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1303.0,,,,,,Published in a refereed paper,Imaging,Spectrum,Flux,,,190.8886343313407,60.01463979390183,,,,,,44.957,0.027,0.027,,,,1.0,,,0.797,0.051,0.051,,4993.0,124.0,124.0,,,
BD+63 974 b,BD+63 974,2.57,1.07,1.07,Confirmed,,1.2,1.2,48.0,1.2,1.2,,,,2146.6,7.8,7.8,3.75,0.04,0.04,0.209,0.006,0.006,,,,,2025,2025-09-29,237.0,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,582.0,4.0,4.0,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,HD 101365 b,,175.07759583333333,62.39651111111111,7.08,,,,,82.04,2.91,2.91,-0.01,0.03,0.03,1.53,0.04,0.04,3.15,0.29,0.29,F9/G0IV,6060.0,32.0,32.0,,,HD 101365
BD-06 1339 c,BD-06 1339,4.4,4.0,4.0,Confirmed,,0.03,0.03,0.17,0.03,0.03,,,,125.94,0.44,0.44,0.435,0.007,0.007,0.31,0.11,0.11,,,,,2013,2021-04-11,41.0,55.0,55.0,2455265.2,17.6,17.6,,,,,,,,,,,,,,,,,,,9.1,2.9,2.9,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,GJ 221 c,,88.25,-5.9947,6.69,,,,,20.0,1.0,1.0,-0.14,0.17,0.17,0.7,,,,,,K7V/M0V,4324.0,100.0,100.0,,,GJ 221
BD-06 1339 d,BD-06 1339,4.4,4.0,4.0,Confirmed,,0.0296,0.0365,0.0582,0.0296,0.0365,,,,487.0,26.0,26.0,1.06,0.07,0.07,0.02,0.02,0.24,,,,,2014,2021-04-11,275.0,85.0,275.0,,,,,,,,,,,,,,,,,,,,,,2.03,1.06,1.17,,,,,,,,,,Submitted to a professional journal,Radial Velocity,Radial Velocity,,GJ 221 d,,88.25,-5.9947,6.69,,,,,20.0,1.0,1.0,-0.14,0.17,0.17,0.7,,,,,,K7V/M0V,4324.0,100.0,100.0,,,GJ 221
BD-06 1339 e,BD-06 1339,4.4,4.0,4.0,Confirmed,,0.0044,0.0047,0.0104,0.0044,0.0047,,,,2.3946,0.00044,0.00036,0.03,0.003,0.003,0.03,0.03,0.24,,,,,2019,2024-05-28,,,,,,,,,,,,,,,,,,,,,,,,,2.13,0.81,0.89,,,,,,,,,,Submitted to a professional journal,Radial Velocity,Radial Velocity,,GJ 221 e,,88.25,-5.9947,6.69,,,,,20.0,1.0,1.0,-0.14,0.17,0.17,0.7,,,,,,K7V/M0V,4324.0,100.0,100.0,,,GJ 221
BD-08 2823 b,BD-08 2823,4.5,4.0,4.0,Confirmed,,0.007,0.007,0.045,0.007,0.007,,,,5.6,0.02,0.02,0.056,0.002,0.002,0.15,0.15,0.15,,,,0.001327,2009,2019-06-13,30.0,100.0,100.0,2454637.7,1.6,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,150.2,-9.5166667,9.86,,,,,42.2,2.9,2.9,-0.07,0.03,0.03,0.74,0.07,0.07,,,,K3V,4746.0,63.0,63.0,,,
BD-08 2823 c,BD-08 2823,4.5,4.0,4.0,Confirmed,,0.03,0.03,0.33,0.03,0.03,,,,237.6,1.5,1.5,0.68,0.02,0.02,0.19,0.09,0.09,,,,0.016114,2009,2019-06-13,127.0,21.0,21.0,2454193.0,13.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,150.2,-9.5166667,9.86,,,,,42.2,2.9,2.9,-0.07,0.03,0.03,0.74,0.07,0.07,,,,K3V,4746.0,63.0,63.0,,,
BD-10 3166 b,BD-10 3166,4.18,,,Confirmed,0.51,0.06,0.24,0.46,,,1.03,,,3.4878,0.0001,0.0001,0.046,,,0.0104,0.0192,0.0104,,,,0.000697,2000,2026-04-03,345.4,83.9,83.9,2451844.7,,,,,,,,,,,,,,,,,,,,,60.53,1.44,1.44,,,,,,,,,,Published in a refereed paper,Radial Velocity,Astrometry,Theoretical,,,164.6166667,-10.7702778,10.08,,,,,66.0,,,0.5,,,0.99,,,1.71,,,G4 V,5400.0,,,,,
BD-11 4672 b,BD-11 4672,4.4,4.0,4.0,Confirmed,,0.05,0.05,0.65,0.05,0.05,,,,1634.0,14.0,14.0,2.36,0.04,0.04,0.05,0.05,0.05,,,,0.091575,2010,2020-06-26,344.0,67.0,93.0,2457915.3,34.0,48.0,,,,,,,,,,,,,,,,,,,14.9,1.2,1.1,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,278.370833343,-11.636111126,10.02,,,,,27.3,1.3,1.3,-0.48,0.05,0.05,0.571,0.014,0.014,0.52,0.02,0.02,K7V,4475.0,100.0,100.0,,,
